# z = 0.7
#    qT            OS            SS
1.000000000000e-03  1.423968016281e-01  6.666740261164e-02
1.020000000000e-01  9.858900920277e+00  4.552383541161e+00
2.030000000000e-01  1.535410675757e+01  7.001138820956e+00
3.040000000000e-01  1.934662998902e+01  8.732883011294e+00
4.050000000000e-01  2.232868179343e+01  9.979644410263e+00
5.060000000000e-01  2.465209231261e+01  1.092569721028e+01
6.070000000000e-01  2.642005583183e+01  1.160790865400e+01
7.080000000000e-01  2.774472639973e+01  1.208727918096e+01
8.090000000000e-01  2.874476732140e+01  1.243165989048e+01
9.100000000000e-01  2.944851065209e+01  1.263942145238e+01
1.011000000000e+00  2.987078854919e+01  1.271397211996e+01
1.112000000000e+00  3.007353011338e+01  1.269480366695e+01
1.213000000000e+00  3.015326451532e+01  1.263785175004e+01
1.314000000000e+00  3.008859305642e+01  1.252158824713e+01
1.415000000000e+00  2.985164143963e+01  1.232497518354e+01
1.516000000000e+00  2.949514977828e+01  1.207764229407e+01
1.617000000000e+00  2.904829787851e+01  1.179279923057e+01
1.718000000000e+00  2.857705725098e+01  1.151069956583e+01
1.819000000000e+00  2.805219119682e+01  1.121540329169e+01
1.920000000000e+00  2.748131847812e+01  1.090145543440e+01
2.021000000000e+00  2.685659300325e+01  1.056628124524e+01
2.122000000000e+00  2.617660147011e+01  1.020811565037e+01
2.223000000000e+00  2.546198225794e+01  9.838800956251e+00
2.324000000000e+00  2.473052837968e+01  9.467403921570e+00
2.425000000000e+00  2.400764195015e+01  9.108950270984e+00
2.526000000000e+00  2.330021902146e+01  8.765332290217e+00
2.627000000000e+00  2.259506978065e+01  8.426443861522e+00
2.728000000000e+00  2.188003863374e+01  8.085099629874e+00
2.829000000000e+00  2.115732817049e+01  7.742988048693e+00
2.930000000000e+00  2.043084125346e+01  7.402056853988e+00
3.031000000000e+00  1.970465742784e+01  7.063578896731e+00
3.132000000000e+00  1.898931806610e+01  6.733360025903e+00
3.233000000000e+00  1.827901201231e+01  6.409247991163e+00
3.334000000000e+00  1.759265627676e+01  6.100865013935e+00
3.435000000000e+00  1.692789673365e+01  5.806296536027e+00
3.536000000000e+00  1.627737311522e+01  5.521068074865e+00
3.637000000000e+00  1.564758149195e+01  5.247822960955e+00
3.738000000000e+00  1.503331037438e+01  4.983483910215e+00
3.839000000000e+00  1.443862492193e+01  4.730348247639e+00
3.940000000000e+00  1.387004857910e+01  4.490529457998e+00
4.041000000000e+00  1.331460961156e+01  4.257033869139e+00
4.142000000000e+00  1.277403962187e+01  4.020681584169e+00
4.243000000000e+00  1.224798618266e+01  3.803050029575e+00
4.344000000000e+00  1.174037439045e+01  3.596307440373e+00
4.445000000000e+00  1.121759446271e+01  3.394768761810e+00
4.546000000000e+00  1.074168302835e+01  3.205978727107e+00
4.647000000000e+00  1.028010227361e+01  3.020304374501e+00
