# z = 0.7
#    qT            OS            SS
1.000000000000e-03  9.902995379278e-02  4.523498682170e-02
1.020000000000e-01  6.007482502830e+00  2.741097674265e+00
2.030000000000e-01  9.387154903266e+00  4.235581146722e+00
3.040000000000e-01  1.184346900404e+01  5.295421622336e+00
4.050000000000e-01  1.367232023031e+01  6.058840703716e+00
5.060000000000e-01  1.510008903372e+01  6.640080158045e+00
6.070000000000e-01  1.618260953605e+01  7.059296326272e+00
7.080000000000e-01  1.700139783506e+01  7.358408560295e+00
8.090000000000e-01  1.763440131912e+01  7.580012060561e+00
9.100000000000e-01  1.808424711071e+01  7.717628286540e+00
1.011000000000e+00  1.837656173904e+01  7.780589718558e+00
1.112000000000e+00  1.854489538814e+01  7.790616467017e+00
1.213000000000e+00  1.864777148515e+01  7.780998149903e+00
1.314000000000e+00  1.865935211807e+01  7.733414142323e+00
1.415000000000e+00  1.857218399037e+01  7.640007745730e+00
1.516000000000e+00  1.842058266060e+01  7.519621993228e+00
1.617000000000e+00  1.821806190828e+01  7.378065963326e+00
1.718000000000e+00  1.799902268129e+01  7.236469090068e+00
1.819000000000e+00  1.773306448877e+01  7.080535779977e+00
1.920000000000e+00  1.744935106723e+01  6.917183250537e+00
2.021000000000e+00  1.713667025933e+01  6.742819320739e+00
2.122000000000e+00  1.678676832177e+01  6.552750333838e+00
2.223000000000e+00  1.641570769303e+01  6.355809640636e+00
2.324000000000e+00  1.603404745883e+01  6.157366890182e+00
2.425000000000e+00  1.565779267798e+01  5.966485119645e+00
2.526000000000e+00  1.528695925233e+01  5.782378037576e+00
2.627000000000e+00  1.491754411144e+01  5.601013174279e+00
2.728000000000e+00  1.453961321547e+01  5.416925750352e+00
2.829000000000e+00  1.415525688058e+01  5.223212837358e+00
2.930000000000e+00  1.376860139296e+01  5.036443856044e+00
3.031000000000e+00  1.337677084041e+01  4.861322911556e+00
3.132000000000e+00  1.299131576039e+01  4.680781342270e+00
3.233000000000e+00  1.261159884771e+01  4.505014580683e+00
3.334000000000e+00  1.224245991378e+01  4.336887901209e+00
3.435000000000e+00  1.188264050371e+01  4.175294770778e+00
3.536000000000e+00  1.152962390500e+01  4.018527510393e+00
