# z = 0.7
#    qT            OS            SS
1.000000000000e-03  1.920071381840e-01  8.867229653250e-02
1.020000000000e-01  1.093627991909e+01  5.021419572631e+00
2.030000000000e-01  1.701466277506e+01  7.728831166446e+00
3.040000000000e-01  2.137848011271e+01  9.626006817859e+00
4.050000000000e-01  2.457963205725e+01  1.097189875879e+01
5.060000000000e-01  2.703301567036e+01  1.197606364179e+01
6.070000000000e-01  2.884434041064e+01  1.267815570894e+01
7.080000000000e-01  3.017198827449e+01  1.315845418978e+01
8.090000000000e-01  3.114796307576e+01  1.349084849337e+01
9.100000000000e-01  3.178761343108e+01  1.366866405828e+01
1.011000000000e+00  3.213686715258e+01  1.370892359713e+01
1.112000000000e+00  3.226375844308e+01  1.365417959629e+01
1.213000000000e+00  3.226410698278e+01  1.355932362330e+01
1.314000000000e+00  3.210331918847e+01  1.339741976975e+01
1.415000000000e+00  3.176829158609e+01  1.315472171843e+01
1.516000000000e+00  3.131942941665e+01  1.286431076855e+01
1.617000000000e+00  3.078223756217e+01  1.253751003784e+01
1.718000000000e+00  3.021605662555e+01  1.221088082543e+01
1.819000000000e+00  2.958672369331e+01  1.186667767258e+01
1.920000000000e+00  2.891792940707e+01  1.150736538343e+01
2.021000000000e+00  2.820049321092e+01  1.112962911048e+01
2.122000000000e+00  2.743195121755e+01  1.073116131245e+01
2.223000000000e+00  2.662250083836e+01  1.031872609455e+01
2.324000000000e+00  2.580636359180e+01  9.909297453610e+00
2.425000000000e+00  2.500563332851e+01  9.515924177334e+00
2.526000000000e+00  2.421270222817e+01  9.133482358641e+00
2.627000000000e+00  2.344394972384e+01  8.766441607056e+00
2.728000000000e+00  2.266150186540e+01  8.395131866782e+00
2.829000000000e+00  2.187475542483e+01  8.009433915520e+00
2.930000000000e+00  2.108846901802e+01  7.641813154566e+00
3.031000000000e+00  2.030633968343e+01  7.295106830374e+00
3.132000000000e+00  1.953775679557e+01  6.942246652266e+00
3.233000000000e+00  1.878587316656e+01  6.600698991858e+00
3.334000000000e+00  1.805866145922e+01  6.275225903146e+00
3.435000000000e+00  1.735418890374e+01  5.964038557412e+00
3.536000000000e+00  1.666812571955e+01  5.664195898839e+00
3.637000000000e+00  1.600034217571e+01  5.375141358173e+00
3.738000000000e+00  1.535154422043e+01  5.096585834610e+00
3.839000000000e+00  1.472420955839e+01  4.830028921454e+00
3.940000000000e+00  1.412267056883e+01  4.576620652415e+00
4.041000000000e+00  1.353705700098e+01  4.322068662360e+00
4.142000000000e+00  1.297242380588e+01  4.086616131891e+00
4.243000000000e+00  1.240812784849e+01  3.860634407848e+00
4.344000000000e+00  1.187949586658e+01  3.645152883968e+00
4.445000000000e+00  1.135604444809e+01  3.435486899795e+00
4.546000000000e+00  1.086496665887e+01  3.239111341936e+00
4.647000000000e+00  1.038392702066e+01  3.047455774635e+00
4.748000000000e+00  9.921964392818e+00  2.864267306052e+00
4.849000000000e+00  9.477034237717e+00  2.689247233532e+00
4.950000000000e+00  9.051627396661e+00  2.524339859615e+00
5.051000000000e+00  8.647723270273e+00  2.370461058906e+00
5.152000000000e+00  8.262648812141e+00  2.225964580811e+00
5.253000000000e+00  7.891332830542e+00  2.088026940676e+00
5.354000000000e+00  7.535185501635e+00  1.968250946376e+00
5.455000000000e+00  7.192086597707e+00  1.838572582442e+00
5.556000000000e+00  6.866209802617e+00  1.715881309713e+00
5.657000000000e+00  6.549328230618e+00  1.597143285791e+00
5.758000000000e+00  6.246463429626e+00  1.484927427483e+00
5.859000000000e+00  5.956102676703e+00  1.378915300625e+00
5.960000000000e+00  5.678876897771e+00  1.278776009258e+00
6.061000000000e+00  5.408110604361e+00  1.182152311173e+00
6.162000000000e+00  5.143332490006e+00  1.102663489276e+00
6.263000000000e+00  4.882977569759e+00  1.009332760355e+00
6.364000000000e+00  4.629294073313e+00  9.185521001011e-01
6.465000000000e+00  4.382043464319e+00  8.300906363129e-01
6.566000000000e+00  4.138717304969e+00  7.428850679836e-01
6.667000000000e+00  3.904287817194e+00  6.592500123284e-01
6.768000000000e+00  3.676766170984e+00  5.783746914245e-01
6.869000000000e+00  3.458523766304e+00  5.015245104097e-01
6.970000000000e+00  3.249033585495e+00  4.281879299914e-01
7.071000000000e+00  3.050686424828e+00  3.599175327389e-01
7.172000000000e+00  2.861100379568e+00  2.955212603256e-01
7.273000000000e+00  2.681039414646e+00  2.352491034225e-01
7.374000000000e+00  2.510482884940e+00  1.793879543450e-01
7.475000000000e+00  2.351849184616e+00  1.292265872555e-01
7.576000000000e+00  2.199210690244e+00  8.147152830106e-02
7.677000000000e+00  2.054502237738e+00  3.739064815261e-02
7.778000000000e+00  1.918916329743e+00  -2.917782357857e-03
7.879000000000e+00  1.785601849132e+00  -4.284718785791e-02
7.980000000000e+00  1.658779423347e+00  -8.022540639617e-02
8.081000000000e+00  1.533523932296e+00  -1.179613326740e-01
8.182000000000e+00  1.411253538396e+00  -1.552746164186e-01
8.283000000000e+00  1.290960021725e+00  -2.175636137427e-01
8.384000000000e+00  1.174840218075e+00  -2.527904905521e-01
8.485000000000e+00  1.058884894854e+00  -2.866575013475e-01
8.586000000000e+00  9.154630117035e-01  -3.182051181146e-01
8.687000000000e+00  8.170108147179e-01  -3.465052259000e-01
8.788000000000e+00  7.246033666887e-01  -3.721833612278e-01
8.889000000000e+00  6.378685766334e-01  -3.953263757975e-01
8.990000000000e+00  5.562894285392e-01  -4.162927507672e-01
9.091000000000e+00  4.735702488209e-01  -4.354929459145e-01
9.192000000000e+00  3.955569836647e-01  -4.533324920313e-01
9.293000000000e+00  3.205476992010e-01  -4.710516769503e-01
9.394000000000e+00  1.965618563942e-01  -5.161600667875e-01
9.495000000000e+00  1.298353079349e-01  -5.321840366448e-01
9.596000000000e+00  6.901451334984e-02  -5.454009093468e-01
9.697000000000e+00  5.073375590382e-02  -5.578367554781e-01
9.798000000000e+00  -6.395556352555e-03  -5.689645117369e-01
9.899000000000e+00  -6.090905589775e-02  -5.622835214438e-01
1.000000000000e+01  -1.143739603576e-01  -5.736318130154e-01
