# z = 0.7
#    qT            OS            SS
1.000000000000e-03  1.715732331501e-01  7.803665342821e-02
1.020000000000e-01  1.076045977018e+01  4.978952690940e+00
2.030000000000e-01  1.667027801317e+01  7.620462865045e+00
3.040000000000e-01  2.088926356951e+01  9.456285789161e+00
4.050000000000e-01  2.399108841864e+01  1.075803893723e+01
5.060000000000e-01  2.636335752595e+01  1.172548907667e+01
6.070000000000e-01  2.813274160671e+01  1.240777924338e+01
7.080000000000e-01  2.942495920118e+01  1.286972609346e+01
8.090000000000e-01  3.037152475728e+01  1.318668420434e+01
9.100000000000e-01  3.101051476809e+01  1.336230834938e+01
1.011000000000e+00  3.135136623549e+01  1.339434855773e+01
1.112000000000e+00  3.147128357220e+01  1.333150638255e+01
1.213000000000e+00  3.146926333793e+01  1.323198495307e+01
1.314000000000e+00  3.131853571004e+01  1.307150550281e+01
1.415000000000e+00  3.099327116391e+01  1.282859558502e+01
1.516000000000e+00  3.055332664820e+01  1.253689137456e+01
1.617000000000e+00  3.002712097921e+01  1.220970033143e+01
1.718000000000e+00  2.947608605975e+01  1.188600862356e+01
1.819000000000e+00  2.887245555466e+01  1.155078816477e+01
1.920000000000e+00  2.822908299870e+01  1.119995405139e+01
2.021000000000e+00  2.753718847949e+01  1.083043201342e+01
2.122000000000e+00  2.679010598664e+01  1.043790337364e+01
2.223000000000e+00  2.601229585866e+01  1.003630851797e+01
2.324000000000e+00  2.522374692970e+01  9.635957474415e+00
2.425000000000e+00  2.444696174391e+01  9.250500864816e+00
2.526000000000e+00  2.368909275336e+01  8.882080313730e+00
2.627000000000e+00  2.293681370523e+01  8.520172231514e+00
2.728000000000e+00  2.217814581085e+01  8.157537502834e+00
2.829000000000e+00  2.141441916240e+01  7.795480931976e+00
2.930000000000e+00  2.064927134841e+01  7.435792751527e+00
3.031000000000e+00  1.988862149326e+01  7.080740894512e+00
3.132000000000e+00  1.914129165479e+01  6.735377559129e+00
3.233000000000e+00  1.840039018026e+01  6.396189965393e+00
3.334000000000e+00  1.768621494057e+01  6.074571961925e+00
3.435000000000e+00  1.699599980106e+01  5.768261340659e+00
3.536000000000e+00  1.632176757863e+01  5.472299617049e+00
3.637000000000e+00  1.566991748141e+01  5.189423665342e+00
3.738000000000e+00  1.503501350890e+01  4.916193346190e+00
3.839000000000e+00  1.442102988803e+01  4.654966357038e+00
3.940000000000e+00  1.383472916594e+01  4.408110379459e+00
4.041000000000e+00  1.326280760533e+01  4.168265010009e+00
4.142000000000e+00  1.270626422260e+01  3.924301665721e+00
4.243000000000e+00  1.216552347825e+01  3.700759524299e+00
4.344000000000e+00  1.164410459714e+01  3.488662482239e+00
4.445000000000e+00  1.110836667395e+01  3.282314291431e+00
4.546000000000e+00  1.062046603182e+01  3.089206300134e+00
4.647000000000e+00  1.014751569395e+01  2.898954063276e+00
4.748000000000e+00  9.692740460457e+00  2.718852768571e+00
4.849000000000e+00  9.252578186940e+00  2.545792751891e+00
4.950000000000e+00  8.833339906859e+00  2.383768850894e+00
5.051000000000e+00  8.435306318882e+00  2.232814461142e+00
5.152000000000e+00  8.056466092282e+00  2.091575089442e+00
5.253000000000e+00  7.691721948442e+00  1.957148124856e+00
5.354000000000e+00  7.340959578153e+00  1.829083055013e+00
5.455000000000e+00  7.005008848114e+00  1.713876228011e+00
5.556000000000e+00  6.685192683066e+00  1.593831987704e+00
